Osmanlıca,Türkçe,Ebced,Mağribi Ebced
دوغوش,Doğuş,1316,1916
دُرا,Dora,205,aynısı
طوروق خان,Dorukhan,972,aynısı
دوندو,Döndü,70,aynısı
دونه,Döne,65,aynısı
دودو,Dudu,20,aynısı
دوران,Duran,261,aynısı
دوردو,Durdu,220,aynısı
دورموش,Durmuş,556,1256
دورسون,Dursun,326,566
دورو,Duru,216,aynısı
دوروقان,Durukan,367,aynısı
دويغو,Duygu,1026,926
دوردانه,Dürdane,270,aynısı
أبرار,Ebrar,404,aynısı
ابرو,Ebru,209,aynısı
أبو ذر,Ebu Zer,909,aynısı
ابوبكر,Ebubekir,231,aynısı
اجه,Ece,9,aynısı
اجه خان,Ecehan,660,aynısı
اجهم,Ecem,49,aynısı
اجمل,Ecmel,74,aynısı
أدا,Eda,6,aynısı
اديبه,Edibe,22,aynısı
اديب,Edip,17,aynısı
اديز,Ediz,22,aynısı
افضل,Efdal,911,201
أفه,Efe,86,aynısı
افلاطون,Eflatun,177,aynısı
افسانه,Efsane,197,437
افسون,Efsun,197,437
اَفشان,Efşan,432,1132
اكه,Ege,26,aynısı
اكه خان,Egehan,677,aynısı
اكه من,Egemen,116,aynısı
اکبر,Ekber,223,aynısı
أكيم,Ekim,71,aynısı
اكين,Ekin,81,aynısı
اكمل,Ekmel,91,aynısı
اكملالدّين,Ekmeleddin,186,aynısı
اكرم,Ekrem,261,aynısı
الا,Ela,32,aynısı
الانور,Elanur,288,aynısı
الچين,Elçin,94,aynısı
الف,Elif,111,aynısı
الماس,Elmas,132,372
الف,Elvan,111,aynısı
أمل,Emel,71,aynısı
أمين,Emin,101,aynısı
أمينة,Emine,106,aynısı
أمير,Emir,251,aynısı
أميرة,Emire,256,aynısı
اميرحان,Emirhan,310,aynısı
امراح,Emrah,250,aynısı
امره,Emre,246,aynısı
امريه,Emriye,256,aynısı
امرالله,Emrullah,307,aynısı
امثال,Emsal,572,aynısı
اندر,Ender,255,aynısı
انس,Enes,111,351
اَنفال,Enfal,162,aynısı
انكين,Engin,131,aynısı
انيس,Enis,121,361
أنيسة,Enise,126,366
انور,Enver,257,aynısı
ارآلپ,Eralp,234,aynısı
أراى,Eray,203,aynısı
ارجان,Ercan,255,aynısı
ارجمند,Ercüment,298,aynısı
اردال,Erdal,236,aynısı
اردم,Erdem,245,aynısı
اردى,Erdi,206,aynısı
اردينچ,Erdinç,268,aynısı
اردوغان,Erdoğan,1262,1162
ارن,Eren,251,aynısı
اركين,Ergin,281,aynısı
اركول,Ergül,257,aynısı
أرخان,Erhan,852,aynısı
أرقان,Erkan,352,aynısı
اركين,Erkin,281,aynısı
ايركت,Erkut,631,aynısı
أرمان,Erman,292,aynısı
أرول,Erol,237,aynısı
ارسال,Ersal,292,532
اَرسان,Ersan,312,552
ارسل,Ersel,291,531
ارسن,Ersen,311,551
ارسين,Ersin,321,561
ارصوى,Ersoy,298,268
ارتان,Ertan,652,aynısı
أرتوغرول,Ertuğrul,1843,1743
ارتورك,Ertürk,827,aynısı
اروع,Erva,277,aynısı
أسعد,Esat,135,375
اسدالله,Esedullah,131,371
اسن,Esen,111,351
اسنكل,Esengül,161,401
اسين,Esin,121,361
أسماء,Esma,103,343
اَسمر,Esmer,301,541
أسرا,Esra,262,502
اشرف,Eşref,581,1281
ادهم,Ethem,50,aynısı
أوده كل,Evdegül,66,aynısı
اورن,Evren,257,aynısı
ايلول,Eylül,77,aynısı
ايمن,Eymen,101,aynısı
ازكى,Ezgi,29,aynısı
فاطمه,Fadime,135,aynısı
فخري,Fahri,890,aynısı
فاءق,Faik,182,aynısı
فاءقه,Faika,187,aynısı
فاروق,Faruk,387,aynısı
فاتح,Fatih,489,aynısı
فاطمة,Fatma,135,aynısı
فاطمه نور,Fatmanur,391,aynısı
فضيلت,Fazilet,1320,610
فضل‌الله,Fazlullah,976,266
فذاكار,Fedakar,1002,aynısı
فهمى,Fehmi,126,aynısı
فَرح,Ferah,288,aynısı
فردا,Ferda,285,aynısı
فرحان,Ferhan,339,aynısı
فرهاد,Ferhat,290,aynısı
فرخنده,Ferhunde,939,aynısı
فريد,Ferid,294,aynısı
فريدة,Feride,299,aynısı
فريدون,Feridun,350,aynısı
فريد,Ferit,294,aynısı
فرّوح,Ferruh,294,aynısı
فرزان,Ferzan,338,aynısı
فتحي,Fethi,498,aynısı
فته الله,Fethullah,551,aynısı
فتّاح,Fettah,489,aynısı
فوزى,Fevzi,94,aynısı
فوزية,Fevziye,108,aynısı
فيّاض,Feyyaz,891,181
فيضا,Feyza,891,181
فیض‌الله,Feyzullah,956,246
فيكن,Figen,160,aynısı
فكري,Fikri,310,aynısı
فكريه,Fikriye,315,aynısı
فيليز,Filiz,137,aynısı
فردوس,Firdevs,350,590
فیروزه,Firuze,308,aynısı
فؤاد,Fuad,92,aynısı
فؤاد,Fuat,92,aynısı
فوليا,Fulya,127,aynısı
فوندا,Funda,141,aynısı
فرقان,Furkan,431,aynısı
فروزان,Füruzan,344,aynısı
غالب,Galib,1033,933
غالب,Galip,1033,933
غمزه,Gamze,1052,952
غنيّ,Gani,1060,960
غنيمة,Ganime,1105,1005
غنيمة,Ganimet,1105,1005
غايه,Gaye,1016,916
غازى,Gazi,1009,909
كيزم,Gizem,77,aynısı
غنجه,Gonca,1058,958
كوكچه,Gökçe,54,aynısı
گوكچن,Gökçen,99,aynısı
كوكحان,Gökhan,105,aynısı
كوكمن,Gökmen,136,aynısı
كوكسل,Göksel,136,376
كوكشن,Gökşen,396,1096
كوكشن,Gökşin,396,1096
كوكطى,Göktay,56,aynısı
گوكتوغ,Göktuğ,1452,1352
كوڭل,Gönül,106,aynısı
كوركم,Görkem,286,aynısı
كوزده,Gözde,42,aynısı
غربت,Gurbet,1602,1502
غوهر,Güher,1211,1111
كل,Gül,50,aynısı
كلال,Gülal,81,aynısı
كُلاى,Gülay,52,aynısı
گل بهار,Gülbahar,258,aynısı
كلبين,Gülbin,112,aynısı
كُلجان,Gülcan,104,aynısı
كلچېن,Gülçin,113,aynısı
كلدن,Gülden,104,aynısı
كل دسته,Güldeste,519,759
كولن,Gülen,106,aynısı
كل اندام,Gülendam,146,aynısı
كولر,Güler,256,aynısı
گلفام,Gülfem,171,aynısı
كلفر,Gülfer,330,aynısı
كولخان,Gülhan,707,aynısı
كلستان,Gülistan,561,801
كُلعذار,Gülizar,1021,aynısı
كللي,Güllü,90,aynısı
گلنار,Gülnar,301,aynısı
كلناز,Gülnaz,108,aynısı
كلنور,Gülnur,306,aynısı
كل پرى,Gülperi,253,aynısı
گلرو,Gülru,256,aynısı
كُلسرن,Gülseren,360,600
كل سويم,Gülsevim,166,406
كلثوم,Gülsüm,596,aynısı
كولشن,Gülşen,406,1106
كلتكين,Gültekin,530,aynısı
كلتن,Gülten,500,aynısı
كناى,Günay,72,aynısı
كوندوز,Gündüz,93,aynısı
كونر,Güner,276,aynısı
كونش,Güneş,376,1076
كونكور,Güngör,302,aynısı
كربز,Gürbüz,229,aynısı
كورجان,Gürcan,280,aynısı
كورخان,Gürhan,877,aynısı
گورقان,Gürkan,377,aynısı
كورسل,Gürsel,316,556
كوون,Güven,82,aynısı
گوزل,Güzel,63,aynısı
كوزيده,Güzide,52,aynısı
حبيب,Habib,22,aynısı
حبيبة,Habibe,27,aynısı
حبیب الله,Habibullah,88,aynısı
هابيل,Habil,48,aynısı
هاجر,Hacer,209,aynısı
هادي,Hadi,20,aynısı
خديجة,Hadice,622,aynısı
هادية,Hadiye,25,aynısı
حفيظة,Hafize,1003,903
حفصة,Hafsa,183,153
خاقان,Hakan,752,aynısı
حکیم,Hakim,78,aynısı
حاكمه,Hakime,74,aynısı
هاله,Hale,41,aynısı
خالدة,Halide,640,aynısı
حلیفه,Halife,133,aynısı
خليل,Halil,670,aynısı
خلیل‌الله,Halilullah,736,aynısı
حليم,Halim,88,aynısı
حليمة,Halime,93,aynısı
خالص,Halis,721,691
خالصه,Halise,726,696
خالد,Halit,635,aynısı
خلوق,Haluk,736,aynısı
حمدي,Hamdi,62,aynısı
حمديه,Hamdiye,67,aynısı
حمدالله,Hamdullah,118,aynısı
حامی,Hami,59,aynısı
حميده,Hamide,67,aynısı
حامد,Hamit,53,aynısı
حمزة,Hamza,60,aynısı
خندان,Handan,705,aynısı
خنده,Hande,659,aynısı
حنيفة,Hanife,153,aynısı
حَنّان,Hannan,109,aynısı
خَنْسَاء,Hansa,712,952
حارث,Haris,709,aynısı
هارون,Harun,262,aynısı
حسن,Hasan,118,358
حسبي,Hasbi,80,320
حسيبه,Hasibe,85,325
حسيب,Hasip,80,320
حَسْنا,Hasna,119,359
حسرت,Hasret,668,908
هاشم,Haşim,346,1046
حشمت,Haşmet,748,1448
خاتم,Hatem,1041,aynısı
