tr isim,os_isim ,ebced,mağribi ebced,,,,
Mümine, مؤمنه,142,142,,,,
Gülten, كلتن,500,500,,,,
Abdi, عبدى,77,77,,,,
Abdülbaki, عبد الباقي,220,220,,,,
Abdüssamed, عبدالصّمد,241,211,,,,
Acar, آجار,205,205,,,,
Adahan, آداخان,657,657,,,,
Adak, آداق,106,106,,,,
Adeviye, عدويه,95,95,,,,
Adviye, عدويه,95,95,,,,
Adıgüzel, آديكوزل,78,78,,,,
Afife, عفیفه,245,245,,,,
Afitap, آفتاب,484,484,,,,
Afşar, آفشار,582,1282,,,,
Ahsen, احسن,119,359,,,,
Ahu, آهو,12,12,,,,
Aişe, عاءشه,377,1077,,,,
Aişegül, عاءشه كل,427,1127,,,,
Ayşenur, عاءشه نور,633,1333,,,,
Ajda, اژدا,13,13,,,,
Akif, عاکِف,171,171,,,,
Alpcan, آلپ جان,87,87,,,,
Alper, آلپر,233,233,,,,
Arife, عارفه,356,356,,,,
Arzu, آرزو,214,214,,,,
Aslıhan, اصليخان,782,752,,,,
Asuman, آسمان,152,392,,,,
Atatürk, آتاتورك,1028,1028,,,,
Atilla, آتیلا,442,442,,,,
Aydın, آيدين,75,75,,,,
Ayfer, آيفر,291,291,,,,
Aykutalp, آيقود آلپ,154,154,,,,
Ayla, آیلا,42,42,,,,
Aynur, آی‌نور,267,267,,,,
Aysel, آیسل,101,341,,,,
Ayser, آيسر,271,511,,,,
Aysun, آيسون,127,367,,,,
Ayten, آيتن,461,461,,,,
Aytunç, آيتونچ,470,470,,,,
Aytül, آيتول,447,447,,,,
Bahaddin, بهاالدّين,103,103,,,,
Bahadır, بَهادر,212,212,,,,
Bahar, بهار,208,208,,,,
Banu, بانو,59,59,,,,
Begüm, بكوم,68,68,,,,
Belgin, بلكين,112,112,,,,
Belgüzar, برگزار,430,430,,,,
Berk, برق,302,302,,,,
Berkant, برقانت,753,753,,,,
Berkay, بركاى,224,224,,,,
Berna, برنا,253,253,,,,
Bertan, برتان,653,653,,,,
Besime, بسيمه,117,357,,,,
Beyhan, بيخان,663,663,,,,
Beyza, بيضا,813,103,,,,
Birgül, بيركل,262,262,,,,
Birol, بيرول,248,248,,,,
Birsel, بيرسل,302,542,,,,
Bora, بورا,209,209,,,,
Buket, بوكت,428,428,,,,
Burcu, برجو,211,211,,,,
Burhan, بُرهان,258,258,,,,
Cahid, جاهد,13,13,,,,
Cahit, جاهد,13,13,,,,
Canan, جانان,105,105,,,,
Candan, جاندن,108,108,,,,
Cansu, جانصو,150,120,,,,
Cemalettin, جمال الدين,169,169,,,,
Cemaleddin, جمال الدين,169,169,,,,
Cengiz, جنكيز,90,90,,,,
Cenker, جنكر,273,273,,,,
Ceren, جرن,253,253,,,,
Cevdet, جودت,413,413,,,,
Cihangir, جهانگیر,289,289,,,,
Coşkun, جوشقون,465,1165,,,,
Cüneyt, جنيد,67,67,,,,
Cüneyd, جنيد,67,67,,,,
Çağla, چاغلا,1035,935,,,,
Çiçek, چيچك,36,36,,,,
Çiğdem, چيكدم,77,77,,,,
Damla, داملا,76,76,,,,
Davut, داود,15,15,,,,
Davud, داود,15,15,,,,
Deniz, دگيز,41,41,,,,
Derya, دریا,215,215,,,,
Devlet, دولت,440,440,,,,
Dilara, دلآرا,236,236,,,,
Dilber, دلبر,236,236,,,,
Dilek, ديلك,64,64,,,,
Döne, دونه,65,65,,,,
Durdu, دوردو,220,220,,,,
Dursune, دورسونه,331,571,,,,
Dürdane, دُردانه,264,264,,,,
Ebru, ابرو,209,209,,,,
Ece, اجه,9,9,,,,
Ecehan, اجه خان,660,660,,,,
Ecmel, اجمل,74,74,,,,
Eda, أدا,6,6,,,,
Ekrem, اَکرم,261,261,,,,
Elif, الف,111,111,,,,
Elmas, الماس,132,372,,,,
Elvan, الف,111,111,,,,
Emel, أمل,71,71,,,,
Emral, أمرال,272,272,,,,
Eray, أراى,203,203,,,,
Erhan, أرخان,852,852,,,,
Erkan, اَرکان,272,272,,,,
Erman, ایرمان,302,302,,,,
Erol, أرول,237,237,,,,
Ertuğrul, أرتوغرول,1843,1743,,,,
Esengül, اسنكل,161,401,,,,
Esra, أسرا,262,502,,,,
Evren, اورن,257,257,,,,
Fadime, فاطمه,135,135,,,,
Fatoş, فاطوش,396,1096,,,,
Fazilet, فَضیلت,1320,610,,,,
Fehime, فهيمه,140,140,,,,
Feramuz, فرامز,328,328,,,,
Ferhat, فَرحت,688,688,,,,
Feriha, فرحه,293,293,,,,
Ferişte, فرشته,985,1685,,,,
Fethiye, فتحيه,503,503,,,,
Feyza, فيضا,891,181,,,,
Fırat, فرات,681,681,,,,
Figen, فيكن,160,160,,,,
Fikriye, فكريه,315,315,,,,
Filiz, فيليز,137,137,,,,
Firdevs, فردوس,350,590,,,,
Fuad, فؤاد,92,92,,,,
Fuat, فؤاد,92,92,,,,
Galib, غالب,1033,933,,,,
Gamze, غمزه,1052,952,,,,
Gazali, غزالى,1039,939,,,,
Gazi, غازى,1009,909,,,,
Gonca, غنجه,1058,958,,,,
Gökçe, كوكچه,54,54,,,,
Gökhan, كوكحان,105,105,,,,
Gökmen, كوكمن,136,136,,,,
Göksel, كوكسل,136,376,,,,
Gökşen, كوكشن,396,1096,,,,
Göktay, كوكطى,56,56,,,,
Gönül, كوڭل,106,106,,,,
Görkem, كوركم,286,286,,,,
Gözde, كوزده,42,42,,,,
Gülay, كُلاى,52,52,,,,
Gülcan, كُلجان,104,104,,,,
Gülden, كلدن,104,104,,,,
Güler, كولر,256,256,,,,
Gülhan, كولخان,707,707,,,,
Gülistan, كلستان,561,801,,,,
Gülizar, كُلعذار,1021,1021,,,,
Gülnaz, كلناز,108,108,,,,
Gülsen, كولسن,166,406,,,,
Gülser, كُلسر,310,550,,,,
Gülseren, كُلسرن,360,600,,,,
Gülşah, كلشاه,356,1056,,,,
Günay, كناى,72,72,,,,
Günseli, كونسلى,167,407,,,,
Gürbüz, كربز,229,229,,,,
Gürcan, كورجان,280,280,,,,
Haluk, خلوق,736,736,,,,
Hamdiye, حمديه,67,67,,,,
Hamide, حمیده,67,67,,,,
Handan, خندان,705,705,,,,
Hanım, خانم,691,691,,,,
Halis, خالص,721,691,,,,
Hanifi, حنيفى,149,149,,,,
Hasbiye, حسبيه,85,325,,,,
Hasibe, حَسیبه,85,325,,,,
Hatem, حاتم,449,449,,,,
Havva, حوّا,15,15,,,,
Havvagül, حوّا كل,65,65,,,,
Havva Gül, حوّا كل,65,65,,,,
Hediye, هدیه,24,24,,,,
Huri, حوری,224,224,,,,
Huriye, حوریه,229,229,,,,
Huruşan, خروشان,1157,1857,,,,
Hülya, خوليا,647,647,,,,
Hümeyra, حميراء,260,260,,,,
Hüsne, حسنه,123,363,,,,
İfakat, افاقت,582,582,,,,
İklime, اِقلیما,182,182,,,,
İlknur, ايلكنور,317,317,,,,
İmren, إمرن,291,291,,,,
İnci, اينجى,65,65,,,,
İsa, عیسی,150,390,,,,
Kadri, قدري,314,314,,,,
Kadriye, قدريه,319,319,,,,
Kaniye, كانيه,86,86,,,,
Kerem, كرم,260,260,,,,
Kısmet, قسمت,600,840,,,,
Kibar, كبار,223,223,,,,
Kubilay, قوبيلاى,150,150,,,,
Kudret, قدرت,704,704,,,,
Kürşat, كورشات,927,1627,,,,
Lale, لاله,66,66,,,,
Leyla, لیلا,71,71,,,,
Lütfi, لطفي,129,129,,,,
Mahbub, محبوب,58,58,,,,
Mahire, ماهره,251,251,,,,
Mahmud, محمود,98,98,,,,
Maide, ماءده,51,51,,,,
Makbule, مَقبوله,183,183,,,,
Mecid, مجيد,57,57,,,,
Mecit, مجيد,57,57,,,,
Mediha, مَدیحه,67,67,,,,
Mehmed, محمد,92,92,,,,
Mehtab, مهتاب,448,448,,,,
Mehtap, مَهتاب,448,448,,,,
Melahat, ملاحت,479,479,,,,
Meliha, مليحه,93,93,,,,
Melike, مَلیکه,105,105,,,,
Melis, مَليس,140,380,,,,
Meltem, ملتم,510,510,,,,
Meral, مرال,271,271,,,,
Mersiye, مرثيه,755,755,,,,
Merve, مروه,251,251,,,,
Mesud, مسعود,180,420,,,,
Mete, مهته,450,450,,,,
Mihriban, مهربان,298,298,,,,
Mine, مينه,105,105,,,,
Miyase, مياسه,116,356,,,,
Muazzez, معزّز,124,124,,,,
Muhammed, محمّد,92,92,,,,
Murad, مراد,245,245,,,,
Musa, موسی,116,356,,,,
Mutlu, موتلو,482,482,,,,
Mübeccel, مبجّل,75,75,,,,
Mücevher, مجوهر,254,254,,,,
Mürüvvet, مروّت,646,646,,,,
Müsade, مصاده,140,110,,,,
Müzeyyen, مزيّن,107,107,,,,
Nadide, ناديده,74,74,,,,
Nalan, نالان,132,132,,,,
Narin, نارین,311,311,,,,
Naz, ناز,58,58,,,,
Nazife, نظيفه,1045,945,,,,
Nazire, نَظیره,1165,1065,,,,
Nazlı, نازلى,89,89,,,,
Nazmiye, نظميه,1005,905,,,,
Necdet, نجدت,457,457,,,,
Necmiye, نَجمیه,108,108,,,,
Nergis, نركس,330,570,,,,
Nesime, نَسیمه,165,405,,,,
Neslihan, نسليخان,801,1041,,,,
Nevin, نوين,116,116,,,,
Nevriye, نوريه,271,271,,,,
Nevzat, نوزاد,68,68,,,,
Nezihe, نزيهه,77,77,,,,
Nigar, نِگار,271,271,,,,
Nihal, نهال,86,86,,,,
Nil, نیل,90,90,,,,
Nilay, نيلاي,101,101,,,,
Nilüfer, نیلوفر,376,376,,,,
Nilva, نيلوا,97,97,,,,
Nimet, نِعمت,560,560,,,,
Nuray, نوراى,258,258,,,,
Nurcan, نورجان,310,310,,,,
Nureddin, نورالدّين,351,351,,,,
Nuri, نوری,266,266,,,,
Nuriye, نوریه,271,271,,,,
Nurseli, نورسلى,347,587,,,,
Nurşen, نورشن,606,1306,,,,
Nurten, نورتن,706,706,,,,
Nurullah, نور الله,322,322,,,,
Oğuz, اوغوز,1020,920,,,,
Oğuzhan, اوغوزخان,1671,1571,,,,
Okan, اوقان,158,158,,,,
Olcay, اولجاى,42,42,,,,
Onur, اونور,263,263,,,,
Oruç, اوروچ,216,216,,,,
Orhan, اورخان,858,858,,,,
Oya, اويا,18,18,,,,
Ozan, اوزان,65,65,,,,
Önder, اوگدر,231,231,,,,
Özay, اوزاى,16,16,,,,
Özgünaz, اوزكو نا,91,91,,,,
Özgül, ازكل,58,58,,,,
Özgür, اوزكور,240,240,,,,
Öznur, اوزنور,270,270,,,,
Pakize, پاكيزه,45,45,,,,
Pelin, پلين,92,92,,,,
Pembe, پمبه,49,49,,,,
Perihan, پريخان,863,863,,,,
Pınar, پینار,263,263,,,,
Radiye, راضيه,1016,306,,,,
Rahmet, رحمت,648,648,,,,
Rahmi, رحمى,249,249,,,,
Raziye, رازيه,223,223,,,,
Refika, رفيقه,395,395,,,,
Regaib, رغاءب,1204,1104,,,,
Regaip, رغاءب,1204,1104,,,,
Remziye, رمزيه,262,262,,,,
Resul, رسول,296,536,,,,
Reyhan, ریحان,269,269,,,,
Reyyan, ريّان,261,261,,,,
Rıdvan, رضوان,1057,347,,,,
Ruhiye, روحيه,229,229,,,,
Rümeysa, رُميسا,311,551,,,,
Rüveyda, رويده,225,225,,,,
Saadet, سَعادت,535,775,,,,
Sabahat, صباحت,501,471,,,,
Sabiha, صبيحه,115,85,,,,
Sabire, صبيره,307,277,,,,
Sabriye, صبریه,307,277,,,,
Safvet, صفوت,576,546,,,,
Saffet, صفوت,576,546,,,,
Safiye, صَفیه,185,155,,,,
Saide, سعیده,149,389,,,,
Said, سعيد,144,384,,,,
Saime, صائمه,147,117,,,,
Samed, صمد,134,104,,,,
Samet, صمد,134,104,,,,
Sanem, صنم,180,150,,,,
Saniye, ثانيه,566,566,,,,
Satı, صاتى,492,462,,,,
Seçil, سچيل,103,343,,,,
Seda, صدا,95,65,,,,
Sedat, سداد,69,309,,,,
Sefa, سفا,141,381,,,,
Seher, سحر,268,508,,,,
Selahattin, صلاح الدين,224,194,,,,
Selahaddin, صلاحالدّين,224,194,,,,
Selçuk, سلچوق,199,439,,,,
Selda, سلدا,95,335,,,,
Selma, سِلما,131,371,,,,
Selvi, سلوى,97,337,,,,
